repository,star_range,star,latest_push,files,total_dependencies,number_of_vulnerabilities,ghsa,cve_strings,cvss,severity,sploitus_number_of_pocs
carbon-app/carbon,>1800,35704,2025-09-22T15:49:05Z,package.json,49,12,"GHSA-3wf4-68gx-mph8,GHSA-qpjv-v59x-3qc4,GHSA-c59h-r6p8-q9wc,GHSA-7gfc-8cq8-jh5f,GHSA-g77x-44xx-532m,GHSA-jr5f-v2jv-69x6,GHSA-4342-x723-ch2f,GHSA-4hjh-wcwx-xvwj,GHSA-g5qg-72qw-gw5v,GHSA-f82v-jwr5-mffw,GHSA-xv57-4mr9-wg8v","CVE-2025-55173,CVE-2024-47831,CVE-2024-57965,CVE-2025-27152,CVE-2024-11023,CVE-2025-32421,CVE-2024-51479,CVE-2025-29927,CVE-2025-57822,CVE-2025-57752,CVE-2023-46298,CVE-2025-58754",0.0,"HIGH,HIGH,MODERATE,CRITICAL,LOW,MODERATE,HIGH,LOW,MODERATE,MODERATE,MODERATE",1
TheAlgorithms/JavaScript,>1800,33652,2025-09-22T14:37:59Z,package.json,5,1,GHSA-9crc-q9x8-hgqq,CVE-2025-24964,,CRITICAL,0
fastify/fastify,>1800,34625,2025-09-22T15:54:40Z,package.json,54,6,"GHSA-4vvj-4cpr-p986,GHSA-hc6q-2mpp-qw7j,GHSA-rrr8-f88r-h8q6","CVE-2024-45813,CVE-2024-43788,CVE-2023-28154,CVE-2025-32442,CVE-2022-39288,CVE-2022-41919","4.2,7.5,7.5,7.5,6.4,4.2","HIGH,CRITICAL,MODERATE",0
lutzroeder/netron,>1800,31430,2025-09-22T15:32:43Z,package.json,6,1,,CVE-2022-29257,6.6,,0
sahat/hackathon-starter,>1800,35080,2025-09-22T12:53:46Z,package.json,72,2,,"CVE-2024-7042,CVE-2020-1481","4.9,8.8,4.9",,0
usebruno/bruno,>1800,37114,2025-09-22T14:07:35Z,package.json,226,7,"GHSA-4vvj-4cpr-p986,GHSA-4hjh-wcwx-xvwj,GHSA-9pv7-vfvm-6vr7,GHSA-vmqv-hx8q-j7mg,GHSA-hc6q-2mpp-qw7j,GHSA-fjxv-7rqg-78g4","CVE-2024-43788,CVE-2025-7783,CVE-2025-55305,CVE-2023-26144,CVE-2023-32732,CVE-2023-28154,CVE-2025-58754","6.4,5.3,5.3","MODERATE,CRITICAL,MODERATE,HIGH,MODERATE,HIGH,CRITICAL",1
drawdb-io/drawdb,>1800,32845,2025-09-22T15:19:15Z,package.json,48,0,,,,,0
upstash/context7,>1800,31083,2025-09-22T15:55:37Z,package.json,13,4,,"CVE-2024-30260,CVE-2025-22150,CVE-2024-30261,CVE-2025-47279",,"LOW,LOW,MODERATE,LOW",0
pcottle/learnGitBranching,>1800,32482,2025-09-22T07:22:44Z,package.json,33,7,"GHSA-jpcq-cgw6-v4j6,GHSA-g4jq-h2w9-997c,GHSA-gxr4-xjj5-5px2,GHSA-jqfw-vq24-v9c3,GHSA-pfq8-rq6v-vf5m","BIT-drupal-2020-11023,BIT-drupal-2020-11022,CVE-2022-37620,CVE-2025-58751,CVE-2025-58752,CVE-2020-11022,CVE-2020-11023","6.9,5.3,7.5","MODERATE,MODERATE,LOW,LOW,HIGH",0
lovell/sharp,>1800,31158,2025-09-22T15:24:50Z,package.json,29,0,,,,,0
AMAI-GmbH/AI-Expert-Roadmap,>1800,30291,2025-09-22T15:19:51Z,package.json,2,0,,,,,0
docsifyjs/docsify,>1800,30426,2025-09-22T15:49:01Z,package.json,43,7,"GHSA-jr5f-v2jv-69x6,GHSA-8hc4-vh64-cxmj,GHSA-4hjh-wcwx-xvwj,GHSA-wf5p-g6vw-rhxx,GHSA-x7hr-w5r2-h6wg,GHSA-gcx4-mw62-g8wm","CVE-2024-47068,CVE-2024-53382,CVE-2024-57965,CVE-2025-27152,CVE-2023-45857,CVE-2025-58754,CVE-2024-39338","0.0,6.1","MODERATE,HIGH,HIGH,HIGH,HIGH,MODERATE",0
layui/layui,>1800,30359,2025-09-22T15:48:55Z,package.json,12,0,,,,,0
webtorrent/webtorrent,>1800,30458,2025-09-22T09:01:51Z,package.json,76,0,,,,,0
kenwheeler/slick,>1800,28620,2025-09-20T14:21:33Z,package.json,0,0,,,,,0
immerjs/immer,>1800,28610,2025-09-22T15:46:42Z,package.json,45,20,"GHSA-29mw-wpgm-hmr9,GHSA-4r4m-qw57-chr8,GHSA-r2j6-p67h-q639,GHSA-jf85-cpcp-j695,GHSA-64vr-g452-qvp3,GHSA-x5rq-j2xg-h7qm,GHSA-x574-m823-4x7w,GHSA-35jh-r3h4-6jhm,GHSA-356w-63v5-8wf4,GHSA-9crc-q9x8-hgqq,GHSA-p6mc-m468-83gw,GHSA-g4jq-h2w9-997c,GHSA-3mv9-4h5g-vhg3,GHSA-4xc9-xhrj-v574,GHSA-9cwx-2883-4wfx,GHSA-xcj6-pq6g-qj4x,GHSA-vg6x-rcgg-rjx6,GHSA-jqfw-vq24-v9c3,GHSA-859w-5945-r5v3,GHSA-fvqr-27wr-82fm","CVE-2020-26226,CVE-2025-24010,CVE-2025-46565,CVE-2024-45811,CVE-2024-45812,CVE-2025-58752,CVE-2019-10744,CVE-2024-53384,CVE-2021-23337,CVE-2018-16487,CVE-2018-3721,CVE-2025-32395,CVE-2020-28500,CVE-2020-8203,CVE-2025-30208,CVE-2025-58751,CVE-2019-1010266,CVE-2025-31125,CVE-2025-24964,CVE-2025-31486","8.1,5.3,7.2","HIGH,LOW,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,LOW,MODERATE,HIGH,MODERATE,CRITICAL,HIGH,MODERATE,HIGH,CRITICAL",0
sampotts/plyr,>1800,29180,2025-09-22T15:48:53Z,package.json,62,0,,,,,0
tj/commander.js,>1800,27627,2025-09-22T10:53:40Z,package.json,13,0,,,,,0
caolan/async,>1800,28221,2025-09-21T05:58:25Z,package.json,37,5,"GHSA-mxhp-79qh-mcx6,GHSA-7x7c-qm48-pq9c,GHSA-rc3x-jf5g-xvc5,GHSA-gcx4-mw62-g8wm,GHSA-c2qf-rxjj-qqgw","CVE-2019-10790,CVE-2021-23495,CVE-2022-0437,CVE-2024-47068,CVE-2022-25883","5.3,6.1,5.4","HIGH,HIGH,HIGH,MODERATE,MODERATE",0
NginxProxyManager/nginx-proxy-manager,>1800,28518,2025-09-22T14:51:29Z,package.json,73,4,"GHSA-fjxv-7rqg-78g4,GHSA-jr5f-v2jv-69x6,GHSA-w4m6-x6c2-j5c9,GHSA-4hjh-wcwx-xvwj","CVE-2025-58754,CVE-2025-7783,CVE-2022-27261,CVE-2025-27152",,"HIGH,HIGH,CRITICAL,HIGH",1
vuejs/vue-cli,>1800,29698,2025-09-22T00:38:14Z,package.json,252,26,"GHSA-xvch-5gv4-984h,GHSA-w8qv-6jwh-64r5,GHSA-8g77-54rh-46hx,GHSA-qw6h-vgh9-j6wx,GHSA-h726-x36v-rx45,GHSA-x7hr-w5r2-h6wg,GHSA-c2qf-rxjj-qqgw,GHSA-phwq-j96m-2c2q,GHSA-4vvj-4cpr-p986,GHSA-9jgg-88mc-972h,GHSA-hqhp-5p83-hx96,GHSA-968p-4wvh-cqc8,GHSA-3949-f494-cm99,GHSA-7fh5-64p2-3v2j,GHSA-c2gp-86p4-5935,GHSA-566m-qj78-rww5,GHSA-5j4c-8p2g-v4jx,GHSA-gj77-59wh-66hg,GHSA-g3ch-rx76-35fx,GHSA-4v9v-hfq4-rm2v,GHSA-hc6q-2mpp-qw7j,GHSA-gxpj-cx7g-858c,GHSA-hwj9-h5mp-3pm3,GHSA-hm92-vgmw-qfmx,GHSA-ghr5-ch3p-vcr6,GHSA-rv95-896h-c2vc","CVE-2024-9506,CVE-2024-29041,CVE-2024-43796,CVE-2023-44270,CVE-2024-53382,CVE-2021-23368,CVE-2025-30360,CVE-2023-28154,CVE-2019-5786,CVE-2024-43788,CVE-2017-16137,CVE-2021-32723,CVE-2025-30359,CVE-2025-27789,CVE-2022-29078,CVE-2021-23382,CVE-2021-23364,CVE-2023-26156,CVE-2022-25883,CVE-2025-25975,CVE-2022-23647,CVE-2021-3801,CVE-2021-44906,CVE-2024-6783,CVE-2024-43297,CVE-2024-33883","5.3,5.0,5.3,4.3,6.4,9.8,5.3,7.5","HIGH,MODERATE,HIGH,MODERATE,HIGH,MODERATE,LOW,MODERATE,MODERATE,LOW,MODERATE,LOW,MODERATE,MODERATE,MODERATE,HIGH,MODERATE,MODERATE,CRITICAL,MODERATE,CRITICAL,MODERATE,CRITICAL,MODERATE,MODERATE,LOW,HIGH,MODERATE",0
codemirror/codemirror5,>1800,27139,2025-09-21T06:22:06Z,package.json,7,3,"GHSA-5g97-whc9-8g7j,GHSA-8r4g-cg4m-x23c,GHSA-gcx4-mw62-g8wm","CVE-2023-26111,CVE-2024-47068",6.1,"HIGH,HIGH,MODERATE",0
ajaxorg/ace,>1800,27040,2025-09-22T11:36:45Z,package.json,26,3,"GHSA-4v9v-hfq4-rm2v,GHSA-9jgg-88mc-972h,GHSA-cf66-xwfp-gvc4","CVE-2025-30359,CVE-2025-30360,CVE-2018-14732",7.5,"HIGH,MODERATE,MODERATE",0
remy/nodemon,>1800,26639,2025-09-22T09:28:12Z,package.json,122,41,"GHSA-qx2f-477c-35rq,GHSA-9wv6-86v2-598j,GHSA-cm22-4g7w-348p,GHSA-qwcr-r2fm-qrc7,GHSA-x5pg-88wf-qq4p,GHSA-9vvw-cc9w-f27h,GHSA-phwq-j96m-2c2q,GHSA-wrvr-8mpx-r7pp,GHSA-7px7-7xjx-hxm8,GHSA-p9wx-2529-fp83,GHSA-w9mr-4mfr-499f,GHSA-rrrm-qjm4-v8hf,GHSA-hrpp-h998-j3pp,GHSA-gxpj-cx7g-858c,GHSA-ghr5-ch3p-vcr6,GHSA-3fx5-fwvr-xrjg,GHSA-5v2h-r2cx-5xgj,GHSA-rhx6-c78j-4q9w,GHSA-hwcf-pp87-7x6p,GHSA-jgqf-hwc5-hh37,GHSA-3w5v-p54c-f74x,GHSA-qw6h-vgh9-j6wx,GHSA-m6fv-jmcg-4jfg,GHSA-pxg6-pf52-xh8x,GHSA-gwg9-rgvj-4h5j,GHSA-6x77-rpqf-j6mw,GHSA-p493-635q-r6gr,GHSA-gpvr-g6gh-9mc2,GHSA-x2pg-mjhr-2m5x,GHSA-mpcf-4gmh-23w8,GHSA-9qj9-36jm-prpv,GHSA-gqgv-6jq5-jjj9,GHSA-3965-hpx2-q597,GHSA-vfvf-mqq8-rwqc,GHSA-c3x7-gjmx-r2ff,GHSA-hjcp-j389-59ff,GHSA-7mc5-chhp-fmc3,GHSA-cfjh-p3g4-3q2f,GHSA-rv95-896h-c2vc","CVE-2016-10539,CVE-2015-8859,CVE-2024-43796,CVE-2017-16119,CVE-2022-31051,CVE-2015-1164,CVE-2017-1000189,CVE-2024-43799,CVE-2017-16138,CVE-2022-21681,CVE-2017-1000228,CVE-2017-20165,CVE-2015-8315,CVE-2022-24999,CVE-2024-47764,CVE-2024-45590,CVE-2016-10531,CVE-2015-8854,CVE-2019-5413,CVE-2024-29041,CVE-2018-25110,CVE-2015-1370,CVE-2014-6393,CVE-2017-16136,CVE-2021-43138,CVE-2016-1000236,CVE-2017-16118,CVE-2017-16137,CVE-2017-1000048,CVE-2024-43800,CVE-2017-1000188,CVE-2022-29078,CVE-2017-16114,CVE-2022-21680,CVE-2024-52798,CVE-2021-21353,CVE-2017-1000427,CVE-2017-20162,CVE-2024-45296,CVE-2024-36361,CVE-2024-33883","7.5,7.5,7.5,7.5,9.8,5.0,4.3,9.8,7.5,3.5,7.5,5.0,7.8,7.5,6.8,4.4,5.0,7.5,3.5,7.5,4.3","HIGH,HIGH,HIGH,HIGH,HIGH,CRITICAL,HIGH,HIGH,LOW,LOW,CRITICAL,HIGH,HIGH,LOW,HIGH,MODERATE,LOW,HIGH,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,HIGH,LOW,HIGH,LOW,CRITICAL,HIGH,MODERATE,CRITICAL,MODERATE,MODERATE,HIGH,MODERATE,MODERATE,HIGH,MODERATE,HIGH,HIGH,HIGH,MODERATE",34
haizlin/fe-interview,>1800,26081,2025-09-22T04:51:07Z,package.json,0,0,,,,,0
ai/nanoid,>1800,26120,2025-09-22T12:56:54Z,package.json,23,0,,,,,0
rollup/rollup,>1800,26005,2025-09-22T14:23:19Z,package.json,87,0,,,,,0
gethomepage/homepage,>1800,25812,2025-09-22T15:30:01Z,package.json,46,1,,CVE-2023-3676,8.8,,0
philc/vimium,>1800,25401,2025-09-22T13:32:05Z,package.json,0,0,,,,,0
DavidHDev/react-bits,>1800,25789,2025-09-22T15:51:51Z,package.json,51,10,"GHSA-4r4m-qw57-chr8,GHSA-g4jq-h2w9-997c,GHSA-9cwx-2883-4wfx,GHSA-64vr-g452-qvp3,GHSA-xcj6-pq6g-qj4x,GHSA-x574-m823-4x7w,GHSA-vg6x-rcgg-rjx6,GHSA-356w-63v5-8wf4,GHSA-jqfw-vq24-v9c3,GHSA-859w-5945-r5v3","CVE-2025-32395,CVE-2025-24010,CVE-2025-46565,CVE-2025-30208,CVE-2024-45811,CVE-2024-45812,CVE-2025-58751,CVE-2025-31125,CVE-2025-58752,CVE-2025-31486",5.3,"MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,LOW",26
zloirock/core-js,>1800,25243,2025-09-22T13:13:06Z,package.json,99,0,,,,,0
winstonjs/winston,>1800,23983,2025-09-22T14:08:46Z,package.json,28,0,,,,,0
highlightjs/highlight.js,>1800,24622,2025-09-22T14:23:01Z,package.json,34,3,"GHSA-29mw-wpgm-hmr9,GHSA-35jh-r3h4-6jhm,GHSA-gcx4-mw62-g8wm","CVE-2024-47068,CVE-2021-23337,CVE-2020-28500","6.1,7.2","HIGH,MODERATE,HIGH",0
validatorjs/validator.js,>1800,23601,2025-09-22T14:16:01Z,package.json,17,1,GHSA-gcx4-mw62-g8wm,CVE-2024-47068,,HIGH,0
tailwindlabs/heroicons,>1800,22956,2025-09-22T11:07:31Z,package.json,8,0,,,,,0
simple-icons/simple-icons,>1800,23507,2025-09-22T14:18:12Z,package.json,25,0,,,,,0
pure-css/pure,>1800,23739,2025-09-22T12:45:23Z,package.json,33,3,"GHSA-rm36-94g8-835r,GHSA-7fh5-64p2-3v2j,GHSA-j383-35pm-c5h4","CVE-2023-44270,CVE-2022-0436,CVE-2022-1537",7.8,"MODERATE,HIGH,MODERATE",1
koodo-reader/koodo-reader,>1800,23917,2025-09-22T15:34:53Z,package.json,78,9,"GHSA-65rp-mhqf-8gj3,GHSA-jr5f-v2jv-69x6,GHSA-cph5-m8f7-6c5x,GHSA-4hjh-wcwx-xvwj,GHSA-wf5p-g6vw-rhxx,GHSA-vmqv-hx8q-j7mg,GHSA-fjxv-7rqg-78g4,GHSA-4w2v-q235-vp99","CVE-2024-57965,CVE-2025-27152,CVE-2020-28168,CVE-2025-7783,CVE-2025-55305,CVE-2023-45857,CVE-2021-3749,CVE-2025-58754,CVE-2023-26102",0.0,"MODERATE,HIGH,MODERATE,HIGH,HIGH,CRITICAL,MODERATE,HIGH",1
chalk/chalk,>1800,22731,2025-09-22T13:55:29Z,package.json,10,0,,,,,0
js-cookie/js-cookie,>1800,22593,2025-09-22T09:46:22Z,package.json,25,6,"GHSA-5g97-whc9-8g7j,GHSA-j383-35pm-c5h4,GHSA-m5pj-vjjf-4m3h,GHSA-rm36-94g8-835r,GHSA-8r4g-cg4m-x23c,GHSA-gcx4-mw62-g8wm","CVE-2020-7729,CVE-2022-0436,CVE-2023-26111,CVE-2024-47068,CVE-2022-1537","6.1,7.8","HIGH,HIGH,MODERATE,HIGH,MODERATE,HIGH",1
mochajs/mocha,>1800,22838,2025-09-20T14:21:39Z,package.json,91,8,"GHSA-4vvj-4cpr-p986,GHSA-m85w-3h95-hcf9,GHSA-gcx4-mw62-g8wm,GHSA-54xq-cgqr-rpm3,GHSA-xf8x-j4p2-f749,GHSA-49w6-73cw-chjr,GHSA-hc6q-2mpp-qw7j,GHSA-c4pw-33h3-35xw","CVE-2024-43788,CVE-2024-47068,CVE-2025-55303,CVE-2024-56159,CVE-2023-28154,CVE-2024-56140,CVE-2024-47885","6.4,6.1,6.1,6.1","HIGH,CRITICAL,MODERATE,MODERATE,MODERATE,HIGH,MODERATE,HIGH",0
websockets/ws,>1800,22432,2025-09-22T13:56:15Z,package.json,13,2,"GHSA-rv95-896h-c2vc,GHSA-qw6h-vgh9-j6wx","CVE-2024-29041,CVE-2024-43796",5.0,"MODERATE,LOW",0
semantic-release/semantic-release,>1800,22576,2025-09-22T13:56:24Z,package.json,52,4,"GHSA-gxpj-cx7g-858c,GHSA-952p-6rrq-rcjv,GHSA-c2qf-rxjj-qqgw","CVE-2024-4067,CVE-2020-26226,CVE-2022-25883,CVE-2017-16137","8.1,5.3,8.1","LOW,MODERATE,HIGH",0
